player_id,full_name,position,team,status,status_description_abbr,available
00-0023459,Aaron Rodgers,QB,PIT,ACT,A01,True
00-0026158,Joe Flacco,QB,CIN,ACT,A01,True
00-0026300,Josh Johnson,QB,CIN,ACT,A01,True
00-0026498,Matthew Stafford,QB,LA,ACT,A01,True
00-0027973,Andy Dalton,QB,PHI,ACT,A01,True
00-0028118,Tyrod Taylor,QB,GB,ACT,A01,True
00-0028986,Case Keenum,QB,CHI,ACT,A01,True
00-0029604,Kirk Cousins,QB,LV,ACT,A01,True
00-0029892,Kyle Juszczyk,RB,SF,ACT,A01,True
00-0030035,Adam Thielen,WR,MIN,RET,R02,False
00-0030506,Travis Kelce,TE,KC,ACT,A01,True
00-0030565,Geno Smith,QB,NYJ,ACT,A01,True
00-0031235,Odell Beckham Jr.,WR,NYG,ACT,A01,True
00-0031237,Teddy Bridgewater,QB,DET,ACT,A01,True
00-0031381,Davante Adams,WR,LA,ACT,A01,True
00-0031408,Mike Evans,WR,SF,ACT,A01,True
00-0031484,Chris Manhertz,TE,NYG,ACT,A01,True
00-0031503,Jameis Winston,QB,NYG,ACT,A01,True
00-0031595,Michael Burton,RB,CLE,ACT,A01,True
00-0032104,Ameer Abdullah,RB,JAX,ACT,A01,True
00-0032156,Trevor Siemian,QB,ATL,ACT,A01,True
00-0032208,Phillip Dorsett,WR,LV,ACT,A01,True
00-0032268,Marcus Mariota,QB,WAS,ACT,A01,True
00-0032392,Austin Hooper,TE,ATL,ACT,A01,True
00-0032434,Brandon Allen,QB,NYG,ACT,A01,True
00-0032464,Kalif Raymond,WR,CHI,ACT,A01,True
00-0032764,Derrick Henry,RB,BAL,ACT,A01,True
00-0032775,Demarcus Robinson,WR,SF,ACT,A01,True
00-0032918,C.J. Ham,RB,MIN,RET,R02,False
00-0032950,Carson Wentz,QB,MIN,ACT,A01,True
00-0032951,Laquon Treadwell,WR,IND,ACT,A01,True
00-0033077,Dak Prescott,QB,DAL,ACT,A01,True
00-0033090,Hunter Henry,TE,NE,ACT,A01,True
00-0033106,Jared Goff,QB,DET,ACT,A01,True
00-0033110,Tyler Higbee,TE,LA,ACT,A01,True
00-0033119,Jacoby Brissett,QB,AZ,ACT,A01,True
00-0033217,Mo Alie-Cox,TE,IND,ACT,A01,True
00-0033246,Johnny Mundt,TE,PHI,ACT,A01,True
00-0033280,Christian McCaffrey,RB,SF,ACT,A01,True
00-0033288,George Kittle,TE,SF,ACT,A01,True
00-0033293,Aaron Jones,RB,MIN,ACT,A01,True
00-0033307,Kendrick Bourne,WR,AZ,ACT,A01,True
00-0033319,Nick Mullens,QB,JAX,ACT,A01,True
00-0033375,Tim Patrick,WR,NYJ,ACT,A01,True
00-0033376,Patrick Ricard,RB,NYG,ACT,A01,True
