season,seat,points,place
2016,1,1898.7199999999998,3
2016,2,1594.1399999999999,8
2016,3,1620.4999999999998,6
2016,4,1205.48,10
2016,5,1939.82,1
2016,6,1447.72,9
2016,7,1766.2,5
2016,8,1604.8799999999999,7
2016,9,1849.32,4
2016,10,1906.8400000000001,2
2016,1,1399.04,10
2016,2,1895.8200000000002,1
2016,3,1749.1200000000001,6
2016,4,1646.4599999999998,7
2016,5,1584.3200000000002,8
2016,6,1782.58,3
2016,7,1755.68,5
2016,8,1792.58,2
2016,9,1781.8000000000002,4
2016,10,1544.98,9
2016,1,1710.6399999999999,5
2016,2,1682.1799999999998,7
2016,3,1722.6599999999999,4
2016,4,1538.6,9
2016,5,1696.92,6
2016,6,1929.04,1
2016,7,1847.7799999999997,3
2016,8,1481.6999999999998,10
2016,9,1913.0200000000002,2
2016,10,1645.7200000000003,8
2016,1,1693.7,6
2016,2,1850.02,2
2016,3,1881.76,1
2016,4,1622.92,8
2016,5,1717.0799999999997,4
2016,6,1711.9200000000003,5
2016,7,1755.8,3
2016,8,1536.56,9
2016,9,1509.48,10
2016,10,1640.8,7
2016,1,1659.3200000000002,8
2016,2,1558.1200000000001,10
2016,3,1741.1000000000001,4
2016,4,1669.1799999999998,7
2016,5,1752.2799999999997,3
2016,6,1869.82,1
2016,7,1680.1599999999999,6
2016,8,1733.5800000000002,5
2016,9,1565.14,9
2016,10,1777.46,2
2016,1,1702.46,4
2016,2,1953.48,1
2016,3,1511.02,10
2016,4,1626.2399999999998,8
2016,5,1782.3200000000002,3
2016,6,1692.38,5
2016,7,1661.3799999999999,7
2016,8,1589.2999999999997,9
2016,9,1676.48,6
2016,10,1803.72,2
2016,1,1826.52,2
2016,2,1788.9199999999998,3
2016,3,1556.18,9
2016,4,1535.3400000000001,10
2016,5,1577.04,7
2016,6,1663.2799999999997,4
2016,7,1565.8799999999999,8
2016,8,1968.52,1
2016,9,1593.66,6
2016,10,1618.7799999999997,5
2016,1,1525.92,9
