season,seat,points,place
2016,1,1849.8199999999997,5
2016,2,1874.16,3
2016,3,1921.0599999999997,1
2016,4,1846.5,6
2016,5,1878.38,2
2016,6,1728.3799999999999,10
2016,7,1855.74,4
2016,8,1807.5800000000002,8
2016,9,1826.08,7
2016,10,1763.8,9
2016,1,1829.8600000000001,7
2016,2,1782.76,8
2016,3,1852.1200000000001,4
2016,4,1893.4,2
2016,5,1761.1200000000001,10
2016,6,1766.62,9
2016,7,1870.52,3
2016,8,1836.44,6
2016,9,1846.8799999999999,5
2016,10,1898.6,1
2016,1,1815.08,8
2016,2,1837.72,6
2016,3,1753.1599999999999,9
2016,4,1886.1200000000001,2
2016,5,1843.18,5
2016,6,1828.3600000000001,7
2016,7,1873.04,3
2016,8,1740.2599999999998,10
2016,9,1854.38,4
2016,10,2021.74,1
2016,1,1811.6799999999998,6
2016,2,1935.3000000000002,1
2016,3,1801.44,7
2016,4,1880.54,2
2016,5,1837.96,5
2016,6,1788.8600000000001,8
2016,7,1850.6800000000003,4
2016,8,1737.58,10
2016,9,1853.04,3
2016,10,1755.62,9
2016,1,1881.28,2
2016,2,1800.58,9
2016,3,1975.44,1
2016,4,1810.7600000000002,8
2016,5,1833.56,6
2016,6,1836.16,5
2016,7,1829.46,7
2016,8,1879.58,3
2016,9,1751.3199999999997,10
2016,10,1845.02,4
2016,1,1946.54,2
2016,2,1958.8200000000002,1
2016,3,1810.98,7
2016,4,1851.1599999999999,3
2016,5,1848.3600000000001,4
2016,6,1816.6199999999997,6
2016,7,1682.0,10
2016,8,1843.4599999999998,5
2016,9,1789.62,9
2016,10,1798.1599999999999,8
2016,1,1899.7199999999998,2
2016,2,1821.62,6
2016,3,1841.78,4
2016,4,1795.8400000000001,8
2016,5,1963.4,1
2016,6,1775.6399999999999,10
2016,7,1800.98,7
2016,8,1785.8600000000001,9
2016,9,1883.86,3
2016,10,1822.54,5
2016,1,1803.3999999999999,6
2016,2,1857.6799999999998,2
2016,3,1849.54,4
2016,4,1994.8200000000002,1
2016,5,1747.6599999999999,10
2016,6,1748.0,9
2016,7,1853.42,3
2016,8,1799.0,7
2016,9,1820.92,5
2016,10,1759.76,8
2016,1,1852.4,4
2016,2,1797.24,8
2016,3,1875.2400000000002,2
2016,4,1838.6999999999998,5
2016,5,1823.3600000000001,6
2016,6,1803.22,7
2016,7,1786.92,9
2016,8,1758.28,10
2016,9,1988.36,1
2016,10,1857.2199999999998,3
2016,1,1813.6800000000003,6
2016,2,1800.7000000000003,9
2016,3,1780.7599999999998,10
2016,4,1835.52,5
2016,5,1852.1000000000001,4
2016,6,1802.1599999999999,8
2016,7,1886.56,2
2016,8,1810.02,7
2016,9,1874.6799999999998,3
2016,10,1919.0800000000002,1
2016,1,1896.1999999999998,2
2016,2,1894.5000000000002,3
2016,3,1797.86,7
2016,4,1796.6799999999998,8
2016,5,1744.56,10
2016,6,1860.2000000000003,4
2016,7,1838.32,5
2016,8,1769.6599999999999,9
2016,9,1930.8200000000002,1
2016,10,1837.08,6
2016,1,1962.7600000000002,1
2016,2,1850.2,4
2016,3,1677.6399999999999,10
2016,4,1872.02,2
2016,5,1854.7399999999998,3
2016,6,1819.4799999999998,8
2016,7,1822.8600000000001,7
2016,8,1837.9800000000002,6
2016,9,1771.1599999999999,9
2016,10,1839.8199999999997,5
2016,1,1896.0,3
2016,2,1906.58,2
2016,3,1823.1399999999999,6
2016,4,1924.46,1
2016,5,1768.56,10
2016,6,1788.46,8
2016,7,1857.52,4
2016,8,1824.1200000000001,5
2016,9,1808.9199999999998,7
2016,10,1782.0,9
2016,1,1831.58,6
2016,2,1892.2800000000002,1
2016,3,1770.6199999999997,9
2016,4,1847.52,3
2016,5,1847.06,4
2016,6,1873.48,2
2016,7,1845.26,5
2016,8,1796.42,8
2016,9,1757.9,10
2016,10,1814.04,7
2016,1,1823.3400000000001,7
2016,2,1822.8,8
2016,3,1946.2399999999998,1
2016,4,1824.3799999999999,6
2016,5,1855.96,3
2016,6,1792.6999999999998,9
2016,7,1835.02,5
2016,8,1851.62,4
2016,9,1875.06,2
2016,10,1773.28,10
2016,1,1948.44,1
2016,2,1849.32,5
2016,3,1770.02,10
2016,4,1821.98,6
2016,5,1797.7200000000003,8
2016,6,1882.22,3
2016,7,1883.3,2
2016,8,1820.1800000000003,7
2016,9,1854.5000000000002,4
2016,10,1784.0600000000002,9
2016,1,1854.2800000000002,3
2016,2,1855.28,2
2016,3,1830.3200000000002,6
2016,4,1805.5600000000002,7
2016,5,1925.12,1
2016,6,1719.6999999999998,9
2016,7,1677.26,10
2016,8,1786.98,8
2016,9,1842.2,5
2016,10,1846.46,4
2016,1,1722.3399999999997,10
2016,2,1858.38,5
2016,3,1837.46,7
2016,4,1899.1,1
2016,5,1871.2199999999998,3
2016,6,1783.1599999999999,9
2016,7,1800.04,8
2016,8,1847.48,6
2016,9,1865.46,4
2016,10,1880.92,2
2016,1,1819.7800000000002,8
2016,2,1807.86,9
2016,3,1845.12,5
2016,4,1758.6000000000001,10
2016,5,1915.34,1
2016,6,1889.06,2
2016,7,1862.66,4
2016,8,1821.76,7
2016,9,1829.42,6
2016,10,1870.8799999999999,3
2016,1,1890.22,3
2016,2,1809.7199999999998,7
2016,3,1910.8400000000001,2
2016,4,1768.0800000000002,8
2016,5,1857.9,5
2016,6,1748.3600000000001,10
2016,7,1890.08,4
2016,8,1812.8000000000002,6
2016,9,1921.7399999999998,1
2016,10,1750.6799999999998,9
2016,1,1812.82,5
2016,2,1903.82,2
2016,3,1754.44,10
2016,4,1859.58,3
2016,5,1788.44,8
2016,6,1946.1,1
2016,7,1799.3200000000002,6
2016,8,1760.1799999999998,9
2016,9,1798.22,7
2016,10,1833.3600000000001,4
2016,1,1821.2199999999998,6
2016,2,1807.64,8
2016,3,1804.38,9
2016,4,1856.3600000000001,4
2016,5,1811.3000000000002,7
2016,6,1785.32,10
2016,7,1875.42,2
2016,8,1977.56,1
2016,9,1862.58,3
2016,10,1845.4,5
2016,1,1886.58,2
2016,2,1863.3600000000001,3
2016,3,1768.6,10
2016,4,1863.32,4
2016,5,1801.1800000000003,7
2016,6,1802.4,6
2016,7,1800.24,8
2016,8,1794.6799999999998,9
2016,9,1953.6599999999999,1
2016,10,1818.6399999999999,5
2016,1,1940.4399999999998,1
2016,2,1800.3,8
2016,3,1878.0600000000004,2
2016,4,1832.66,6
2016,5,1841.46,5
2016,6,1824.3999999999996,7
2016,7,1791.42,9
2016,8,1713.92,10
2016,9,1860.04,4
2016,10,1862.5800000000002,3
2016,1,1951.8,1
2016,2,1881.36,4
2016,3,1897.3000000000002,2
2016,4,1812.08,7
2016,5,1778.9999999999998,8
2016,6,1840.88,6
2016,7,1889.92,3
2016,8,1869.5400000000002,5
2016,9,1717.8000000000002,10
2016,10,1764.62,9
2016,1,1843.88,5
2016,2,1750.5000000000002,10
2016,3,1957.0000000000002,1
2016,4,1760.1599999999999,8
2016,5,1891.2200000000003,3
2016,6,1761.62,7
2016,7,1882.2,4
2016,8,1759.1200000000001,9
2016,9,1894.4599999999998,2
2016,10,1801.5800000000002,6
2016,1,1884.8000000000002,2
2016,2,1956.1999999999998,1
2016,3,1746.6799999999998,9
2016,4,1867.62,3
2016,5,1836.46,6
2016,6,1827.0,7
2016,7,1819.48,8
2016,8,1846.3600000000001,5
2016,9,1743.2400000000002,10
2016,10,1853.1200000000001,4
2016,1,1873.6000000000001,2
2016,2,1843.4199999999996,5
2016,3,1965.24,1
2016,4,1798.8799999999999,10
2016,5,1833.3799999999999,6
2016,6,1809.28,9
2016,7,1810.0,8
2016,8,1861.7600000000002,4
2016,9,1831.12,7
2016,10,1866.6,3
2016,1,1830.5,6
2016,2,1957.14,1
2016,3,1836.84,5
2016,4,1851.6799999999998,4
2016,5,1908.96,2
2016,6,1870.62,3
2016,7,1781.2199999999998,9
2016,8,1719.1799999999998,10
2016,9,1809.1,7
2016,10,1792.82,8
2016,1,1813.1999999999998,7
2016,2,1865.8400000000001,3
2016,3,2013.12,1
2016,4,1790.68,9
2016,5,1878.6999999999998,2
2016,6,1849.82,4
2016,7,1793.14,8
2016,8,1836.42,6
2016,9,1839.12,5
2016,10,1777.54,10
2016,1,1772.88,10
2016,2,1878.5399999999997,3
2016,3,1780.02,9
2016,4,1904.6,1
2016,5,1854.6,4
2016,6,1811.8600000000001,8
2016,7,1852.36,5
2016,8,1840.3200000000002,6
2016,9,1821.02,7
2016,10,1900.7400000000002,2
2016,1,1839.28,5
2016,2,1860.7800000000002,3
2016,3,1972.8,1
2016,4,1789.3200000000002,9
2016,5,1793.1599999999999,7
2016,6,1790.2,8
2016,7,1922.3200000000002,2
2016,8,1846.36,4
2016,9,1818.5800000000002,6
2016,10,1719.22,10
2016,1,1861.6799999999998,3
2016,2,1840.08,5
2016,3,1781.7399999999998,10
2016,4,2012.12,1
2016,5,1796.3200000000002,7
