season,seat,points,place
2026,1,1821.3252304560376,2
2026,2,1805.3220950169496,3
2026,3,1701.6083591104266,7
2026,4,1557.4026889666354,9
2026,5,1764.0275927868552,4
2026,6,1907.3658464168916,1
2026,7,1762.758366768999,5
2026,8,1638.3103520239024,8
2026,9,1434.42775122876,10
2026,10,1725.8803040064067,6
2026,1,1862.4413856575127,2
2026,2,1881.2554225606982,1
2026,3,1823.5288775916679,5
2026,4,1833.6763785797566,4
2026,5,1822.4144368504967,6
2026,6,1850.0931484688713,3
2026,7,1733.9804455086528,9
2026,8,1622.661578824548,10
2026,9,1780.5360038778672,8
2026,10,1782.0736246293332,7
2026,1,1606.3668991869533,9
2026,2,1614.7173186377436,8
2026,3,1844.4452546923058,3
2026,4,1550.4926372975197,10
2026,5,1957.330224204099,1
2026,6,1717.8186488655037,5
2026,7,1626.2052800922995,7
2026,8,1674.0135010922547,6
2026,9,1928.688224450043,2
2026,10,1805.7129379013993,4
2026,1,1811.6300949315307,4
2026,2,1492.396217054553,8
2026,3,1860.5515152445655,2
2026,4,1622.83739822067,7
2026,5,1475.479989105462,9
2026,6,1692.7446451922754,6
2026,7,1384.571599051359,10
2026,8,1872.9223812204286,1
2026,9,1783.6452242338048,5
2026,10,1814.2972674420923,3
2026,1,1832.7292756659429,4
2026,2,2018.8223750269185,1
2026,3,1713.8512718848046,7
2026,4,1794.4292985627146,5
2026,5,1672.9146083647163,9
2026,6,1772.644912180331,6
2026,7,1662.6797705259519,10
2026,8,1924.436384979466,3
2026,9,1706.5906409990398,8
2026,10,1929.6002261164044,2
2026,1,1677.9617617842375,6
2026,2,1727.3139112460758,5
2026,3,1797.7232900366034,3
2026,4,1828.110964456307,2
2026,5,1661.2266178822447,7
2026,6,1746.660407971632,4
2026,7,1330.4851937984624,10
2026,8,1628.2398426910863,8
2026,9,1516.6196687726,9
2026,10,1970.648677153295,1
2026,1,1747.4015092926165,6
2026,2,1615.526714270205,8
2026,3,1963.061747735697,1
2026,4,1820.70309627082,3
2026,5,1589.9556488383764,9
2026,6,1765.6858238536597,5
2026,7,1563.3314445677738,10
2026,8,1778.708094280596,4
2026,9,1830.2565229556792,2
2026,10,1735.7786500325196,7
2026,1,1749.6617193022098,7
2026,2,1861.9752394033994,4
2026,3,1895.2074455704021,2
2026,4,1721.0018835052165,8
2026,5,1679.4546523182894,9
2026,6,1807.4011661081868,5
2026,7,1868.2924809442602,3
2026,8,1626.2765171348624,10
2026,9,1983.2302759927807,1
2026,10,1752.015869422328,6
2026,1,1768.2151909154386,3
2026,2,1670.1368410436219,5
2026,3,1605.825453583582,8
2026,4,1707.5116661563598,4
2026,5,1464.4654316638362,10
2026,6,1884.359694129134,1
2026,7,1620.8794701368972,7
2026,8,1856.0239720920108,2
2026,9,1644.3059477903278,6
2026,10,1602.235894476688,9
2026,1,1888.0960984056912,2
2026,2,1742.4160962748651,7
2026,3,1582.335018405311,9
2026,4,1744.66801047532,6
2026,5,1888.0595686079992,3
2026,6,1784.9183813243596,5
2026,7,1618.4498047188602,8
2026,8,1405.816323934056,10
2026,9,1929.9973798484461,1
2026,10,1877.7398585923472,4
2026,1,1626.4725062068762,8
2026,2,1818.9289464997544,4
2026,3,1864.2849630899364,3
2026,4,1699.6618760087426,7
2026,5,1914.5477759497833,2
2026,6,1750.0744546790886,5
2026,7,2043.723489807022,1
2026,8,1586.995095707112,9
2026,9,1344.1348562417334,10
2026,10,1703.7460260069356,6
2026,1,1741.9100199759687,7
2026,2,1793.6788212017593,4
2026,3,1793.4125991757421,5
2026,4,1915.1599654764327,2
2026,5,1664.000156760686,8
2026,6,1652.876957874579,9
2026,7,1779.3506753232882,6
2026,8,1823.2329284195334,3
2026,9,1957.2343027543927,1
2026,10,1512.8831286815798,10
2026,1,1849.3746127276245,3
2026,2,1657.7062995631718,9
2026,3,1787.5163796807742,7
2026,4,1615.8881357231098,10
2026,5,1733.3112634188296,8
2026,6,1822.6752163085873,5
2026,7,1838.540010342044,4
2026,8,1799.2835703124167,6
2026,9,1858.2982498281785,2
2026,10,1929.6401593868495,1
2026,1,1724.3232477357963,6
2026,2,1770.9155238799262,4
2026,3,2136.8477880173996,1
2026,4,1649.336953326872,9
2026,5,1772.6781087423064,3
2026,6,1650.5847904518073,8
2026,7,1471.7211514633645,10
2026,8,1661.0415661932038,7
2026,9,1731.3756314751586,5
2026,10,1837.1016321212169,2
2026,1,1640.4166752856404,8
2026,2,1451.0465458541817,10
2026,3,1710.696392417412,7
2026,4,1938.3030076475143,2
2026,5,1833.6591885544026,3
2026,6,1734.7863750251815,6
2026,7,1780.5124322015674,4
2026,8,1758.8282647943693,5
2026,9,1488.128137817503,9
2026,10,2074.3856604543807,1
2026,1,1697.204233679135,5
2026,2,1785.2170628080737,3
2026,3,1596.3849737879925,8
2026,4,1618.5371745702032,6
2026,5,1550.512608344738,9
2026,6,2177.3062282153596,1
2026,7,1534.3136797102252,10
2026,8,1762.5922921868905,4
2026,9,1598.3902905377117,7
2026,10,1863.3558331865293,2
2026,1,1781.7552931786636,3
2026,2,1642.160575582757,8
2026,3,1634.5496660003687,9
2026,4,1714.603243835819,7
2026,5,1755.2567262989583,6
2026,6,1780.0109140080667,4
2026,7,1792.0686207824842,2
2026,8,1775.598437090117,5
2026,9,1971.2086738788453,1
2026,10,1598.9585433110524,10
2026,1,1658.2500153381666,7
2026,2,1836.4141534414055,5
2026,3,1461.784284131336,10
2026,4,1613.874311594521,9
2026,5,2030.2171632490415,1
2026,6,1639.6773755670051,8
2026,7,1914.1873891754065,2
2026,8,1751.6570740287686,6
2026,9,1896.2036308957413,3
2026,10,1861.6439964208278,4
2026,1,1706.0045050887288,5
2026,2,1550.9619609783017,8
2026,3,1757.8293873263153,3
2026,4,1805.876494866069,2
2026,5,1745.2109634548335,4
2026,6,1977.8337463343892,1
2026,7,1657.158146814742,6
2026,8,1341.3057203970748,10
2026,9,1522.2958616600095,9
2026,10,1585.9729760329703,7
2026,1,1842.214706376224,4
2026,2,1668.1712724877182,7
2026,3,1641.7317250822844,8
2026,4,2012.4774840198966,2
2026,5,1525.1501984791498,10
2026,6,2095.203602298933,1
2026,7,1576.7993312713943,9
2026,8,1986.292216131054,3
2026,9,1737.1266762033076,6
2026,10,1795.5086449713858,5
2026,1,1827.0531386551002,3
2026,2,1785.2673027692672,5
2026,3,1852.1047962634816,2
2026,4,1686.8639129895846,6
2026,5,1638.9854283417376,7
2026,6,1909.2366150431214,1
2026,7,1531.5349236653162,10
2026,8,1809.5221964902548,4
2026,9,1578.8365837754945,8
2026,10,1574.4643950609811,9
2026,1,1932.309768366887,2
2026,2,1710.2854765555137,5
2026,3,1365.3002522433746,10
2026,4,2035.913110609255,1
2026,5,1891.8967318748776,3
2026,6,1694.7107328695588,6
2026,7,1777.3150836162254,4
2026,8,1539.7879816717414,8
2026,9,1495.0677578685227,9
2026,10,1580.38598918927,7
2026,1,1828.003646314103,3
2026,2,1723.1389404246816,6
2026,3,1794.0090804460365,4
2026,4,1624.7682713018467,8
2026,5,1599.7393816293456,10
2026,6,1864.5880022443034,2
2026,7,1975.7889408130945,1
2026,8,1604.768961134037,9
2026,9,1686.2975457176653,7
2026,10,1729.5037176793776,5
2026,1,1730.9988025389646,4
2026,2,1581.1127511305117,9
2026,3,1718.1732161667114,5
2026,4,1658.4800405270616,7
2026,5,1713.0198186012058,6
2026,6,1837.9359693784272,1
2026,7,1745.3072215741813,3
2026,8,1829.328178084775,2
2026,9,1480.995642921264,10
2026,10,1608.4017578823737,8
2026,1,1722.2172807973177,6
2026,2,1988.6860250948207,2
2026,3,1764.7179521766175,5
2026,4,1765.2392649672793,4
2026,5,1909.3235886407565,3
2026,6,1529.9553613872058,9
2026,7,1558.3039750981247,8
2026,8,1620.2131610820713,7
2026,9,1270.459432441069,10
2026,10,2090.356678307433,1
2026,1,1716.0234631157964,5
2026,2,1920.997377084529,2
2026,3,1732.4990544864686,4
2026,4,1473.5560603246977,10
2026,5,1872.0386307874596,3
2026,6,1672.284203259003,7
2026,7,1640.0320124446102,8
2026,8,1696.1648659543935,6
2026,9,1927.58948739684,1
2026,10,1511.059298602033,9
2026,1,2025.993216950255,1
2026,2,1765.6022402227527,5
2026,3,1760.5540982460243,7
2026,4,1606.493943285957,10
2026,5,1691.475086001457,9
2026,6,1802.3320587250735,3
2026,7,1763.1050790549382,6
2026,8,1790.0472528746923,4
2026,9,1818.7046933780632,2
2026,10,1720.6725935154564,8
2026,1,1999.8667925346788,2
2026,2,2069.5080732778047,1
2026,3,1786.8207139189735,9
2026,4,1920.3533296766063,4
2026,5,1880.8948938939702,6
2026,6,1798.7681733277786,8
2026,7,1646.950056127956,10
2026,8,1891.6906434816067,5
2026,9,1982.1626360278506,3
2026,10,1852.9685559456964,7
2026,1,1892.3680598187182,1
2026,2,1468.8343448479702,9
2026,3,1878.614594281043,2
2026,4,1400.6735423636733,10
2026,5,1584.7775426949202,8
2026,6,1654.2961427513103,6
2026,7,1627.7972400401168,7
2026,8,1741.4743980872124,5
2026,9,1841.6201774293215,3
2026,10,1801.3222260417483,4
2026,1,1706.1820829351905,7
2026,2,1619.8205144460037,8
2026,3,1511.7231641332614,9
2026,4,2114.968278012136,1
2026,5,1749.5251188660823,4
2026,6,1498.0187845475987,10
2026,7,1821.487005225535,3
2026,8,1744.1897388262269,5
2026,9,1961.837096944602,2
2026,10,1711.4832988443425,6
2026,1,1368.7849698970645,10
2026,2,1650.3444180619495,5
2026,3,1587.0521023162091,8
2026,4,1828.1588216768023,1
2026,5,1543.5872936188593,9
2026,6,1651.4048845032312,4
2026,7,1588.1833184433365,7
2026,8,1673.4760640814368,3
2026,9,1590.8142372688062,6
2026,10,1768.687488082643,2
2026,1,1573.5343090662918,8
2026,2,1864.0173152627697,3
2026,3,1688.3380200611423,4
2026,4,1638.3133786068458,7
2026,5,1658.8928234011078,5
2026,6,1508.317065782135,9
2026,7,1990.151443248798,1
2026,8,1457.425623740025,10
2026,9,1913.6191946110919,2
2026,10,1644.1355891425876,6
2026,1,1936.252859256611,2
2026,2,1728.3972020229087,6
2026,3,1811.1364238869737,5
2026,4,1507.417679902826,9
2026,5,1935.9651388164316,3
2026,6,1467.5080407038577,10
2026,7,1967.172126583384,1
2026,8,1902.9692824023655,4
2026,9,1645.8970839106194,7
2026,10,1590.2772058266205,8
2026,1,1739.7197780757206,8
2026,2,1849.364026849937,2
2026,3,1742.3777155751573,7
