player_id,player_display_name,fantasy_pos,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,passing_epa,carries,rushing_yards,rushing_tds,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,receiving_epa,receiving_first_downs,rushing_first_downs,fantasy_points_ppr,fantasy_points,tw_targets,tw_carries,tw_air_yards,games,team,season,target_share,rush_share,air_yards_share,wopr,opportunity_share,ppg_ppr,yards_per_target,yards_per_carry,touches,touches_pg,targets_pg,carries_pg,rush_att_pg,pass_att_pg,weighted_opps_pg,total_tds,yards_from_scrimmage,scrimmage_ypg,dropbacks,epa_per_dropback,pass_td_rate,snap_games,offense_snaps,snap_pct,routes_est,yprr_est,routes_pg,rz_targets,i10_targets,i5_targets,rz_carries,i10_carries,i5_carries,team_rz_targets,team_i10_targets,team_i5_targets,team_rz_carries,team_i10_carries,team_i5_carries,rz_targets_share,i10_targets_share,i5_carries_share,rz_carries_share,team_games,team_dropbacks,team_points,team_plays,team_pass_att_pbp,team_rush_att_pbp,team_ppg,team_pass_rate,team_scoring_rank,team_pace_rank,team_qb_id,team_qb_epa_per_db,team_qb_epa_rank,team_qb_dropbacks,qb_epa_rank,qb_qualified,gsis_id,birth_date,draft_year,draft_round,draft_pick,rookie_season,height,weight,age,exp,games_share,yprr_shrunk,ypt_shrunk,ypc_shrunk,ppg_shrunk,pos_rank,pos_rank_ppg,top1,top3,top5,top8,top12,top24
00-0007091,Matt Hasselbeck,QB,30,44,301,2,0,2,-0.6280506349282096,8,-11,0,-7.7569808671833,0,0,0,0,0,0.0,0,0,16.94,16.94,161,110,1249,4,IND,2014,0.0,0.07272727272727272,0.0,0.0,0.02952029520295203,4.235,,-1.375,8,2.0,0.0,2.0,2.0,11.0,2.0,0,-11,-2.75,46,-0.013653274672352382,0.045454545454545456,4.0,82.0,0.305,50.96,0.0,12.74,0.0,0.0,0.0,0.0,0.0,0.0,91,51,23,72,38,19,0.0,0.0,0.0,0.0,16,729.0,458,1087,692.0,416.0,28.625,0.6366812227074236,6,2,00-0029668,0.1311081227159267,9.0,645,,False,00-0007091,1975-09-25,1998.0,6.0,187.0,1999,76.0,235.0,38.93497604380561,15,0.25,0.0011927375461873153,3.1965811965811968,3.340078245253976,9.099356951871657,50.0,,0,0,0,0,0,0
00-0010346,Peyton Manning,QB,395,597,4727,39,15,17,121.81689107857149,24,-24,0,-24.812411291815813,0,0,0,0,0,0.0,0,0,312.68,312.68,603,442,5116,16,DEN,2014,0.0,0.05429864253393665,0.0,0.0,0.022966507177033493,19.5425,,-1.0,24,1.5,0.0,1.5,1.5,37.3125,1.5,0,-24,-1.5,614,0.19839884540483957,0.06532663316582915,16.0,1094.0,0.96875,607.52,0.0,37.97,0.0,0.0,0.0,4.0,2.0,1.0,112,56,33,68,38,21,0.0,0.0,0.047619047619047616,0.058823529411764705,16,627.0,482,1046,626.0,443.0,30.125,0.585981308411215,2,8,00-0010346,0.1992735653960236,4.0,614,4.0,True,00-0010346,1976-03-24,1998.0,1.0,1.0,1998,77.0,230.0,38.4394250513347,16,1.0,0.0003164174375353824,3.1965811965811968,2.301933683940482,18.42674278074866,4.0,4.0,0,0,1,1,1,1
00-0019596,Tom Brady,QB,373,582,4109,33,9,21,109.78381503496124,36,57,0,-4.367860904574607,0,0,0,0,0,0.0,0,11,278.06,278.06,601,438,4849,16,NE,2014,0.0,0.0821917808219178,0.0,0.0,0.03464870067372473,17.37875,,1.5833333333333333,36,2.25,0.0,2.25,2.25,36.375,2.25,0,57,3.5625,603,0.1820627115007649,0.05670103092783505,16.0,1063.0,0.934375,608.05,0.0,38.003125,0.0,0.0,0.0,12.0,6.0,3.0,81,43,25,94,54,31,0.0,0.0,0.0967741935483871,0.1276595744680851,16,647.0,468,1055,636.0,438.0,29.25,0.5963133640552996,4,5,00-0019596,0.1817612831704656,5.0,604,5.0,True,00-0019596,1977-08-03,2000.0,6.0,199.0,2000,76.0,225.0,37.07871321013005,14,1.0,0.00031619621038427926,3.1965811965811968,3.0042599443709324,16.695742780748663,9.0,11.0,0,0,0,0,1,1
00-0020245,Mike Vick,QB,64,121,604,3,2,19,-49.366306932655746,26,153,0,-2.786483115633022,0,0,0,0,0,0.0,0,10,43.46,43.46,286,279,2454,9,NYJ,2014,0.0,0.0931899641577061,0.0,0.0,0.04601769911504425,4.828888888888889,,5.884615384615385,26,2.888888888888889,0.0,2.888888888888889,2.888888888888889,13.444444444444445,2.888888888888889,0,153,17.0,140,-0.3526164780903982,0.024793388429752067,10.0,272.0,0.409,157.8,0.0,17.533333333333335,0.0,0.0,0.0,7.0,3.0,1.0,76,31,14,73,35,25,0.0,0.0,0.04,0.0958904109589041,16,591.0,283,1047,549.0,507.0,17.6875,0.5382513661202186,28,7,00-0030565,-0.035843899178008426,30.0,397,,False,00-0020245,1980-06-26,2001.0,1.0,1.0,2001,72.0,210.0,34.182067077344286,13,0.5625,0.0007787281912989048,3.1965811965811968,4.913996299578649,7.639604278074866,43.0,34.0,0,0,0,0,0,0
00-0020337,Steve Smith,WR,0,0,0,0,0,0,0.0,0,0,0,0.0,79,134,1065,6,1413,39.16184221580671,45,0,219.5,140.5,541,448,4617,16,BAL,2014,0.2476894639556377,0.0,0.3060428849902534,0.5857642154266339,0.13549039433771487,13.71875,7.947761194029851,,79,4.9375,8.375,0.0,0.0,0.0,16.75,6,1065,66.5625,0,,,16.0,822.0,0.766875,444.64,2.3951961137099675,27.79,20.0,6.0,3.0,0.0,0.0,0.0,82,32,16,98,49,35,0.24390243902439024,0.1875,0.0,0.0,16,577.0,409,1001,574.0,451.0,25.5625,0.561284046692607,8,19,00-0026158,0.12677877217242456,11.0,568,,,00-0020337,1979-05-12,2001.0,3.0,74.0,2001,69.0,195.0,35.30732375085558,13,1.0,2.202388816618839,7.940312033605296,5.861052184980908,12.49852217504549,19.0,24.0,0,0,0,0,0,1
00-0020494,Santana Moss,WR,0,0,0,0,0,0,0.0,0,0,0,0.0,10,15,116,0,111,4.047959221818031,6,0,21.6,11.6,180,112,1169,5,WAS,2014,0.08333333333333333,0.0,0.0949529512403764,0.19146706586826345,0.05136986301369863,4.32,7.733333333333333,,10,2.0,3.0,0.0,0.0,0.0,6.0,0,116,23.2,0,,,10.0,130.0,0.20400000000000001,87.75,1.3219373219373218,17.55,1.0,0.0,0.0,0.0,0.0,0.0,65,20,5,75,37,21,0.015384615384615385,0.0,0.0,0.0,16,629.0,301,1001,605.0,402.0,18.8125,0.6100872938894277,26,19,00-0029665,-0.12488490014506924,36.0,247,,,00-0020494,1979-06-01,2001.0,1.0,16.0,2001,70.0,193.0,35.252566735112936,13,0.3125,1.5168390574730863,7.849137189139302,5.861052184980908,5.7856048334344266,136.0,,0,0,0,0,0,0
00-0020498,Reggie Wayne,WR,0,0,0,0,0,0,0.0,0,0,0,0.0,64,116,779,2,1124,-8.988551590845196,40,0,151.9,87.9,601,405,5242,15,IND,2014,0.1930116472545757,0.0,0.21442197634490653,0.4396128543232981,0.11530815109343936,10.126666666666667,6.7155172413793105,,64,4.266666666666667,7.733333333333333,0.0,0.0,0.0,15.466666666666667,2,779,51.93333333333333,0,,,15.0,860.0,0.7873333333333333,539.7,1.4433944784139336,35.980000000000004,9.0,3.0,2.0,0.0,0.0,0.0,91,51,23,72,38,19,0.0989010989010989,0.058823529411764705,0.0,0.0,16,729.0,458,1087,692.0,416.0,28.625,0.6366812227074236,6,2,00-0029668,0.1311081227159267,9.0,645,,,00-0020498,1978-11-17,2001.0,1.0,30.0,2001,72.0,203.0,35.78918548939083,13,0.9375,1.484164833861427,6.960350503501839,5.861052184980908,9.59844439478473,49.0,51.0,0,0,0,0,0,0
00-0020531,Drew Brees,QB,456,659,4952,33,17,29,102.08278814409691,27,68,1,-3.02074464561884,1,1,1,0,0,-0.543649147031829,0,6,303.98,302.98,649,406,5036,16,NO,2014,0.0015408320493066256,0.0665024630541872,0.0,0.0023112480739599386,0.026540284360189573,18.99875,1.0,2.5185185185185186,28,1.75,0.0625,1.6875,1.6875,41.1875,1.8125,1,69,4.3125,688,0.14837614555828038,0.05007587253414264,16.0,1139.0,1.0,698.0,0.0014326647564469914,43.625,0.0,0.0,0.0,6.0,3.0,2.0,84,35,21,78,41,29,0.0,0.0,0.06896551724137931,0.07692307692307693,16,698.0,401,1081,690.0,406.0,25.0625,0.6322463768115942,9,3,00-0020531,0.1498392418789271,6.0,683,6.0,True,00-0020531,1979-01-15,2001.0,2.0,32.0,2001,72.0,209.0,35.62765229295003,13,1.0,0.001461901576983258,3.1257237386269643,3.5719963548088187,17.991742780748663,6.0,6.0,0,0,0,1,1,1
00-0020679,Shaun Hill,QB,145,229,1657,8,7,18,-23.898813699916616,10,10,1,-7.345118192024534,1,1,0,0,0,-1.4523300213316,0,1,90.28,89.28,249,194,1994,8,LA,2014,0.004016064257028112,0.05154639175257732,0.0,0.006024096385542168,0.024830699774266364,11.285,0.0,1.0,11,1.375,0.125,1.25,1.25,28.625,1.5,1,10,1.25,247,-0.09675633076889319,0.034934497816593885,9.0,450.0,0.8111111111111111,0.0,,0.0,1.0,0.0,0.0,1.0,1.0,1.0,53,30,18,59,29,12,0.018867924528301886,0.0,0.08333333333333333,0.01694915254237288,16,569.0,324,947,563.0,395.0,20.25,0.5902489626556017,21,30,00-0028957,-0.10627605235629996,35.0,311,33.0,True,00-0020679,1980-01-09,,,,2002,75.0,230.0,34.64476386036961,12,0.5,0.0015979502485453526,3.0934656741108353,3.626475115443817,12.177904634581104,33.0,29.0,0,0,0,0,0,0
00-0021206,Josh McCown,QB,184,327,2206,11,14,36,-29.446014844426966,25,127,3,1.3190884016331919,0,0,0,0,0,0.0,0,10,126.94,126.94,344,246,3489,11,TB,2014,0.0,0.1016260162601626,0.0,0.0,0.0423728813559322,11.54,,5.08,25,2.272727272727273,0.0,2.272727272727273,2.272727272727273,29.727272727272727,2.272727272727273,3,127,11.545454545454545,363,-0.08111849819401368,0.03363914373088685,11.0,630.0,0.9381818181818182,377.8,0.0,34.345454545454544,0.0,0.0,0.0,6.0,3.0,2.0,54,23,8,45,23,6,0.0,0.0,0.3333333333333333,0.13333333333333333,16,603.0,277,930,583.0,353.0,17.3125,0.6307531380753139,29,31,00-0021206,-0.07926616949123909,32.0,359,32.0,True,00-0021206,1979-07-04,2002.0,3.0,81.0,2002,76.0,218.0,35.162217659137575,12,0.6875,0.00045413515968511354,3.1965811965811968,4.58959624264909,12.186323707664883,28.0,28.0,0,0,0,0,0,0
