player_id,season,round,pick,team,pos,draft_age,player,college,depth_rank,vacated_share,returning_top_share,team_scoring_rank,team_qb_epa_rank,pos_rank,top8,games,raw_prob,above_tested_range,prob
MEN516487,2026,1,1,LV,QB,22.0,Fernando Mendoza,Indiana,2.0,1.0,0.0,32.0,34.0,,0.0,,0.06463046457880973,False,0.06463046457880973
SIM639376,2026,1,13,LA,QB,23.0,Ty Simpson,Alabama,3.0,0.0,1.0,1.0,2.0,,0.0,,0.0005696389718959105,False,0.0005696389718959105
ALL015451,2026,3,76,PIT,QB,22.0,Drew Allar,Penn St.,4.0,0.0,0.9070567986230637,15.0,19.0,,0.0,,0.0002863489850697103,False,0.0002863489850697103
KLU066027,2026,4,110,NYJ,QB,22.0,Cade Klubnik,Clemson,2.0,0.6878402903811253,0.3121597096188748,29.0,32.0,,0.0,,0.027484237486660703,False,0.027484237486660703
PAY546690,2026,5,178,PHI,QB,23.0,Cole Payton,North Dakota St.,4.0,0.0,0.9135338345864662,19.0,16.0,,0.0,,0.00033286842415023663,False,0.00033286842415023663
GRE361852,2026,6,182,CLE,QB,23.0,Taylen Green,Arkansas,4.0,0.0,0.5353075170842825,31.0,38.0,,0.0,,0.0016372004789489687,False,0.0016372004789489687
KAL252591,2026,7,223,WAS,QB,,Athan Kaliakmanis,Rutgers,4.0,0.0,0.5412026726057907,22.0,28.0,,0.0,,0.0007644232877532918,False,0.0007644232877532918
MOR767384,2026,7,234,NE,QB,,Behren Morton,Texas Tech,3.0,0.018214936247723135,0.9817850637522769,2.0,1.0,,0.0,,0.0003658484002131719,False,0.0003658484002131719
NUS440041,2026,7,249,KC,QB,,Garrett Nussmeier,LSU,3.0,0.023679417122040074,0.97632058287796,21.0,12.0,,0.0,,0.0009298789566717722,False,0.0009298789566717722
LOV121782,2026,1,3,ARI,RB,21.0,Jeremiyah Love,Notre Dame,1.0,0.3859783347471588,0.2871338308904509,23.0,27.0,,0.0,,0.17036140003197128,False,0.17036140003197128
PRI206342,2026,1,32,SEA,RB,22.0,Jadarian Price,Notre Dame,2.0,0.498010722273482,0.42374264952644863,3.0,8.0,,0.0,,0.09715503511152478,False,0.09715503511152478
BLA097235,2026,3,90,SF,RB,24.0,Kaelon Black,Indiana,2.0,0.23609463627148608,0.7639053637285138,10.0,9.0,,0.0,,0.039903144951384646,False,0.039903144951384646
COL293648,2026,4,108,DEN,RB,23.0,Jonah Coleman,Washington,3.0,0.03507039350092998,0.4463064771445683,14.0,14.0,,0.0,,0.006721728238791678,False,0.006721728238791678
WAS797326,2026,4,122,LV,RB,23.0,Mike Washington Jr.,Arkansas,2.0,0.23219912265919018,0.7436699926243844,32.0,34.0,,0.0,,0.021404866052043996,False,0.021404866052043996
JOH224817,2026,5,161,KC,RB,22.0,Emmett Johnson,Nebraska,3.0,0.8277153558052435,0.17228464419475648,21.0,12.0,,0.0,,0.008848082498351149,False,0.008848082498351149
RAN022436,2026,5,174,BAL,RB,22.0,Adam Randall,Clemson,4.0,0.18779708222715957,0.6245282416993865,11.0,18.0,,0.0,,0.001855790195971246,False,0.001855790195971246
ALL532376,2026,6,187,WAS,RB,23.0,Kaytron Allen,Penn St.,3.0,0.3783636663947498,0.43580760053757567,22.0,28.0,,0.0,,0.0046619715176806535,False,0.0046619715176806535
CLA041524,2026,6,198,MIN,RB,22.0,Demond Claiborne,Wake Forest,3.0,0.05821876386144399,0.47684702069036133,26.0,36.0,,0.0,,0.0020144425724825206,False,0.0020144425724825206
MCG547540,2026,7,237,IND,RB,24.0,Seth McGowan,Kentucky,3.0,0.11727303677187058,0.7135252728158606,8.0,7.0,,0.0,,0.0017764554472646011,False,0.0017764554472646011
MIL303300,2026,7,245,NE,RB,22.0,Jam Miller,Alabama,4.0,0.2286221042068538,0.3484678977347259,2.0,1.0,,0.0,,0.000529065579038002,False,0.000529065579038002
TAT143045,2026,1,4,TEN,WR,21.0,Carnell Tate,Ohio St.,1.0,0.26514239936879924,0.2636111058907215,30.0,35.0,,0.0,,0.14130727538040705,False,0.14130727538040705
TYS405541,2026,1,8,NO,WR,22.0,Jordyn Tyson,Arizona St.,2.0,0.17770019835532805,0.3975616216357393,28.0,24.0,,0.0,,0.02346781532766744,False,0.02346781532766744
LEM694125,2026,1,20,PHI,WR,22.0,Makai Lemon,USC,3.0,0.5440856159253376,0.3366781370803956,19.0,16.0,,0.0,,0.008187719123093224,False,0.008187719123093224
CON046719,2026,1,24,CLE,WR,21.0,KC Concepcion,Texas A&M,2.0,0.0,0.3760353229828985,31.0,38.0,,0.0,,0.03318178073730193,False,0.03318178073730193
COO816508,2026,1,30,NYJ,WR,22.0,Omar Cooper Jr.,Indiana,3.0,0.4786901769200028,0.3732472763028517,29.0,32.0,,0.0,,0.005640860700310993,False,0.005640860700310993
BOS677861,2026,2,39,CLE,WR,22.0,Denzel Boston,Washington,3.0,0.0,0.3760353229828985,31.0,38.0,,0.0,,0.006239110141408702,False,0.006239110141408702
BER218265,2026,2,47,PIT,WR,22.0,Germie Bernard,Alabama,4.0,0.4866329219836798,0.366151877311311,15.0,19.0,,0.0,,0.0018766106566995271,False,0.0018766106566995271
WIL143106,2026,3,71,WAS,WR,22.0,Antonio Williams,Clemson,4.0,0.4685700117132306,0.24904155694185137,22.0,28.0,,0.0,,0.0024000534349492533,False,0.0024000534349492533
