position,player,team,age,prob,last_finish,depth_rank,gates_scored_on,gates_cleared,gates_total,leaper_markers,leaper_total,tier,base_rate,missing
QB,Josh Allen,BUF,30.3,0.602,1,1.0,2025,2,2,,4,B - strong,0.216,-
QB,Joe Burrow,CIN,29.7,0.481,29,1.0,2025,1,2,2.0,4,B - strong,0.216,Dropbacks
QB,Jayden Daniels,WAS,25.7,0.326,34,1.0,2024,2,2,4.0,4,C - leaper watch,0.216,-
QB,Drake Maye,NE,24.0,0.403,2,1.0,2025,2,2,,4,D - fringe,0.216,-
QB,Patrick Mahomes,KC,31.0,0.39,11,1.0,2025,2,2,,4,D - fringe,0.216,-
QB,Jaxson Dart,NYG,23.3,0.385,13,1.0,2025,0,2,2.0,4,D - fringe,0.216,EPA per dropback; Dropbacks
QB,Bo Nix,DEN,26.5,0.377,7,1.0,2025,2,2,,4,D - fringe,0.216,-
QB,Baker Mayfield,TB,31.4,0.336,12,1.0,2025,1,2,,4,D - fringe,0.216,EPA per dropback
QB,Caleb Williams,CHI,24.8,0.287,5,1.0,2025,2,2,,4,D - fringe,0.216,-
QB,Trevor Lawrence,JAX,26.9,0.274,4,1.0,2025,2,2,,4,E - profile does not support it,0.216,-
QB,Kyler Murray,ARI,29.1,0.257,38,1.0,2024,2,2,4.0,4,E - profile does not support it,0.216,-
QB,Tyler Shough,NO,26.9,0.254,26,1.0,2025,0,2,1.0,4,E - profile does not support it,0.216,EPA per dropback; Dropbacks
QB,Dak Prescott,DAL,33.1,0.25,6,1.0,2025,2,2,,4,E - profile does not support it,0.216,-
QB,Lamar Jackson,BAL,29.6,0.241,20,1.0,2025,0,2,3.0,4,E - profile does not support it,0.216,EPA per dropback; Dropbacks
QB,Brock Purdy,SF,26.7,0.234,23,1.0,2025,1,2,3.0,4,E - profile does not support it,0.216,Dropbacks
QB,Jordan Love,GB,27.8,0.222,15,1.0,2025,1,2,2.0,4,E - profile does not support it,0.216,Dropbacks
QB,Justin Herbert,LAC,28.5,0.21,10,1.0,2025,1,2,,4,E - profile does not support it,0.216,EPA per dropback
QB,Jared Goff,DET,31.9,0.203,9,1.0,2025,2,2,,4,E - profile does not support it,0.216,-
QB,Jalen Hurts,PHI,28.1,0.199,8,1.0,2025,1,2,,4,E - profile does not support it,0.216,Dropbacks
QB,Sam Darnold,SEA,29.2,0.181,14,1.0,2025,2,2,2.0,4,E - profile does not support it,0.216,-
QB,C.J. Stroud,HOU,24.9,0.149,21,1.0,2025,1,2,2.0,4,E - profile does not support it,0.216,Dropbacks
QB,Bryce Young,CAR,25.1,0.112,19,1.0,2025,1,2,1.0,4,E - profile does not support it,0.216,EPA per dropback
QB,Matthew Stafford,LA,38.6,0.108,3,1.0,2025,2,2,,4,E - profile does not support it,0.216,-
QB,Cam Ward,TEN,24.3,0.1,22,1.0,2025,1,2,1.0,4,E - profile does not support it,0.216,EPA per dropback
QB,Daniel Jones,IND,29.3,0.095,18,1.0,2025,1,2,2.0,4,E - profile does not support it,0.216,Dropbacks
QB,Aaron Rodgers,PIT,42.7,0.093,17,1.0,2025,1,2,2.0,4,E - profile does not support it,0.216,EPA per dropback
QB,Tua Tagovailoa,MIA,28.5,0.066,25,1.0,2025,0,2,1.0,4,E - profile does not support it,0.216,EPA per dropback; Dropbacks
QB,Geno Smith,LV,35.9,0.053,24,1.0,2025,1,2,1.0,4,E - profile does not support it,0.216,EPA per dropback
QB,Jacoby Brissett,ARI,33.7,0.043,16,1.0,2025,1,2,2.0,4,E - profile does not support it,0.216,EPA per dropback
QB,Kirk Cousins,ATL,38.0,0.037,35,1.0,2025,0,2,0.0,4,E - profile does not support it,0.216,EPA per dropback; Dropbacks
QB,Marcus Mariota,WAS,32.8,0.016,31,2.0,2025,0,2,1.0,4,E - profile does not support it,0.216,EPA per dropback; Dropbacks
QB,Jameis Winston,CLE,32.7,0.013,29,2.0,2024,0,2,0.0,4,E - profile does not support it,0.216,EPA per dropback; Dropbacks
QB,J.J. McCarthy,MIN,23.6,0.013,32,2.0,2025,0,2,1.0,4,E - profile does not support it,0.216,EPA per dropback; Dropbacks
QB,Will Levis,TEN,27.2,0.012,30,3.0,2024,0,2,1.0,4,E - profile does not support it,0.216,EPA per dropback; Dropbacks
QB,Derek Carr,NO,35.4,0.011,26,,2024,1,2,2.0,4,E - profile does not support it,0.216,Dropbacks
